model,mode,cat,case,variant,q,type,tokens,ms,pred,expected,correct,p_pred,p_exp,coverage,ev,completion_tokens,output,top_token,error
E4B,logit,rules_sub,rules_sub,monthly-10d,annual,noul,1746,617,no,no,True,0.9999996533675074,0.9999996533675074,0.9999997637306256,,,,No,
E4B,logit,rules_sub,rules_sub,monthly-10d,within14,noul,1753,613,yes,yes,True,0.9902915232906622,0.9902915232906622,0.999999322435853,,,,Yes,
E4B,logit,rules_sub,rules_sub,monthly-10d,within30,noul,1753,616,no,yes,False,0.8175715221221301,0.18242847787786984,0.999878424888688,,,,No,
E4B,logit,rules_sub,rules_sub,monthly-10d,exports_lt5,noul,1752,585,yes,yes,True,0.9964063984651266,0.9964063984651266,0.9999988152520076,,,,Yes,
E4B,logit,rules_sub,rules_sub,monthly-10d,discounted,noul,1753,640,no,no,True,0.9999999611088717,0.9999999611088717,0.9999996783211565,,,,No,
E4B,logit,rules_sub,rules_sub,monthly-10d,duplicate,noul,1755,616,no,no,True,0.9999999974348524,0.9999999974348524,0.9999959801518133,,,,No,
E4B,logit,rules_direct,rules,monthly-20d,eligible,noul,1757,548,no,no,True,0.9999038976028581,0.9999038976028581,0.9999913939172429,,,,No,
E4B,logit,rules_sub,rules_sub,monthly-20d,annual,noul,1746,578,no,no,True,0.9999991684717184,0.9999991684717184,0.9999995724264606,,,,No,
E4B,logit,rules_sub,rules_sub,monthly-20d,within14,noul,1753,557,no,no,True,0.9999999656787044,0.9999999656787044,0.999999812661926,,,,No,
E4B,logit,rules_sub,rules_sub,monthly-20d,within30,noul,1753,570,no,yes,False,0.9999687980957593,3.120190424062374e-05,0.9999646750797632,,,,No,
E4B,logit,rules_sub,rules_sub,monthly-20d,exports_lt5,noul,1752,534,yes,yes,True,0.9999485577798817,0.9999485577798817,0.9999998211767287,,,,Yes,
E4B,logit,rules_sub,rules_sub,monthly-20d,discounted,noul,1753,543,no,no,True,0.9999832986165248,0.9999832986165248,0.9999980183147128,,,,No,
E4B,logit,rules_sub,rules_sub,monthly-20d,duplicate,noul,1755,546,no,no,True,0.9999999978059136,0.9999999978059136,0.999998253718537,,,,No,
E4B,logit,rules_direct,rules,annual-40d-2exp,eligible,noul,1759,615,no,no,True,0.9999969105044912,0.9999969105044912,0.999998931455216,,,,No,
E4B,logit,rules_sub,rules_sub,annual-40d-2exp,annual,noul,1748,629,yes,yes,True,0.999964643767819,0.999964643767819,0.9999996422148727,,,,Yes,
E4B,logit,rules_sub,rules_sub,annual-40d-2exp,within14,noul,1755,614,no,no,True,0.9999994956523652,0.9999994956523652,0.9999952868714591,,,,No,
E4B,logit,rules_sub,rules_sub,annual-40d-2exp,within30,noul,1755,613,no,no,True,0.9999999778404981,0.9999999778404981,0.999999455341098,,,,No,
E4B,logit,rules_sub,rules_sub,annual-40d-2exp,exports_lt5,noul,1754,541,yes,yes,True,0.9770226216592153,0.9770226216592153,0.9999985448455299,,,,Yes,
E4B,logit,rules_sub,rules_sub,annual-40d-2exp,discounted,noul,1755,586,no,no,True,0.999999789756729,0.999999789756729,0.9999995898317854,,,,No,
E4B,logit,rules_sub,rules_sub,annual-40d-2exp,duplicate,noul,1757,573,no,no,True,0.9999999975137749,0.9999999975137749,0.9999983710640603,,,,No,
E4B,logit,rules_direct,rules,annual-60d-duplicate,eligible,noul,1775,553,yes,yes,True,0.9995121428854865,0.9995121428854865,0.9999992350262974,,,,Yes,
E4B,logit,rules_sub,rules_sub,annual-60d-duplicate,annual,noul,1764,539,yes,yes,True,0.9999687980834223,0.9999687980834223,0.9999995650113958,,,,Yes,
E4B,logit,rules_sub,rules_sub,annual-60d-duplicate,within14,noul,1771,534,no,no,True,0.9999952149052486,0.9999952149052486,0.9999971021077757,,,,No,
E4B,logit,rules_sub,rules_sub,annual-60d-duplicate,within30,noul,1771,565,no,no,True,0.9999957771651031,0.9999957771651031,0.9999972032096528,,,,No,
E4B,logit,rules_sub,rules_sub,annual-60d-duplicate,exports_lt5,noul,1770,615,no,no,True,0.9999999977006169,0.9999999977006169,1.0000000106726015,,,,No,
E4B,logit,rules_sub,rules_sub,annual-60d-duplicate,discounted,noul,1771,614,no,no,True,0.9999996940978368,0.9999996940978368,0.9999995608471184,,,,No,
E4B,logit,rules_sub,rules_sub,annual-60d-duplicate,duplicate,noul,1773,587,yes,yes,True,0.9999339478391165,0.9999339478391165,1.000000008129186,,,,Yes,
E4B,logit,rules_direct,rules,annual-29d-4exp,eligible,noul,1759,539,no,yes,False,0.9988304920381461,0.0011695079618538862,0.9999958067900326,,,,No,
E4B,logit,rules_sub,rules_sub,annual-29d-4exp,annual,noul,1748,616,yes,yes,True,0.9999741325811904,0.9999741325811904,0.9999996392943039,,,,Yes,
E4B,logit,rules_sub,rules_sub,annual-29d-4exp,within14,noul,1755,542,no,no,True,0.9999930377407722,0.9999930377407722,0.9999769709574007,,,,No,
E4B,logit,rules_sub,rules_sub,annual-29d-4exp,within30,noul,1755,584,no,yes,False,0.987568360477103,0.012431639522897029,0.999930089382189,,,,No,
E4B,logit,rules_sub,rules_sub,annual-29d-4exp,exports_lt5,noul,1754,530,yes,yes,True,0.9626731241499038,0.9626731241499038,0.9999977037894473,,,,Yes,
E4B,logit,rules_sub,rules_sub,annual-29d-4exp,discounted,noul,1755,597,no,no,True,0.9999998461827232,0.9999998461827232,0.9999995000296523,,,,No,
E4B,logit,rules_sub,rules_sub,annual-29d-4exp,duplicate,noul,1757,612,no,no,True,0.9999999938465285,0.9999999938465285,0.9999975220280316,,,,No,
E4B,logit,rules_direct,rules,annual-30d-5exp,eligible,noul,1760,614,no,no,True,0.9998601780046139,0.9998601780046139,0.9999983084048225,,,,No,
E4B,logit,rules_sub,rules_sub,annual-30d-5exp,annual,noul,1749,547,yes,yes,True,0.9999339479381858,0.9999339479381858,0.999999600646005,,,,Yes,
E4B,logit,rules_sub,rules_sub,annual-30d-5exp,within14,noul,1756,579,no,no,True,0.9998204721343321,0.9998204721343321,0.9999512409474304,,,,No,
E4B,logit,rules_sub,rules_sub,annual-30d-5exp,within30,noul,1756,533,yes,yes,True,0.6513548766861325,0.6513548766861325,0.999993828387949,,,,Yes,
E4B,logit,rules_sub,rules_sub,annual-30d-5exp,exports_lt5,noul,1755,542,no,no,True,0.9999994631250865,0.9999994631250865,0.9999997516224536,,,,No,
E4B,logit,rules_sub,rules_sub,annual-30d-5exp,discounted,noul,1756,565,no,no,True,0.9999996743687718,0.9999996743687718,0.9999993439428432,,,,No,
E4B,logit,rules_sub,rules_sub,annual-30d-5exp,duplicate,noul,1758,612,no,no,True,0.9999999881388874,0.9999999881388874,0.9999987282158622,,,,No,
E4B,logit,rules_direct,rules,nonprofit-annual-12d,eligible,noul,1765,616,no,no,True,0.9999938558437048,0.9999938558437048,0.9999976796810897,,,,No,
E4B,logit,rules_sub,rules_sub,nonprofit-annual-12d,annual,noul,1754,586,yes,yes,True,0.9999706884986487,0.9999706884986487,0.9999991101243376,,,,Yes,
E4B,logit,rules_sub,rules_sub,nonprofit-annual-12d,within14,noul,1761,567,yes,yes,True,0.8175748304194818,0.8175748304194818,0.9999878793064917,,,,Yes,
E4B,logit,rules_sub,rules_sub,nonprofit-annual-12d,within30,noul,1761,547,yes,yes,True,0.9997694932722704,0.9997694932722704,0.9999997192218426,,,,Yes,
E4B,logit,rules_sub,rules_sub,nonprofit-annual-12d,exports_lt5,noul,1760,566,yes,yes,True,0.9999962733606691,0.9999962733606691,0.999999899424188,,,,Yes,
E4B,logit,rules_sub,rules_sub,nonprofit-annual-12d,discounted,noul,1761,599,yes,yes,True,0.9999832986009111,0.9999832986009111,0.9999999444625887,,,,Yes,
E4B,logit,rules_sub,rules_sub,nonprofit-annual-12d,duplicate,noul,1763,548,no,no,True,0.9999999928058646,0.9999999928058646,0.9999977642155194,,,,No,
E4B,logit,rules_direct,rules,monthly-3d,eligible,noul,1755,534,yes,yes,True,0.9994472213255235,0.9994472213255235,0.9999997324372397,,,,Yes,
E4B,logit,rules_sub,rules_sub,monthly-3d,annual,noul,1744,554,no,no,True,0.9999998362622569,0.9999998362622569,0.9999998163030591,,,,No,
E4B,logit,rules_sub,rules_sub,monthly-3d,within14,noul,1751,618,yes,yes,True,0.9999980052700649,0.9999980052700649,0.9999999803201923,,,,Yes,
E4B,logit,rules_sub,rules_sub,monthly-3d,within30,noul,1751,582,yes,yes,True,0.9706879157699309,0.9706879157699309,0.9999337848247647,,,,Yes,
E4B,logit,rules_sub,rules_sub,monthly-3d,exports_lt5,noul,1750,540,yes,yes,True,0.9999921107425945,0.9999921107425945,0.999999962924205,,,,Yes,
E4B,logit,rules_sub,rules_sub,monthly-3d,discounted,noul,1751,533,no,no,True,0.9999999715466477,0.9999999715466477,0.9999998516978289,,,,No,
E4B,logit,rules_sub,rules_sub,monthly-3d,duplicate,noul,1753,599,no,no,True,0.9999999988437971,0.9999999988437971,0.9999957590029913,,,,No,
E4B,gen,buried,buried_fact,500@0.5,routing,choice,734,469,billing,billing,True,,,,,2,A,,
E4B,gen,buried,buried_fact,2000@0.5,routing,choice,2386,634,billing,billing,True,,,,,2,A,,
E4B,gen,buried,buried_fact,2000@0.5-reversed,routing,choice,2386,736,billing,billing,True,,,,,2,D,,
E4B,gen,buried,buried_fact,4000@0.5,routing,choice,4504,937,billing,billing,True,,,,,2,A,,
E4B,gen,buried,buried_fact,6500@0.1,routing,choice,7225,1315,billing,billing,True,,,,,2,A,,
E4B,gen,buried,buried_fact,6500@0.5,routing,choice,7219,1343,billing,billing,True,,,,,2,A,,
E4B,gen,buried,buried_fact,6500@0.9,routing,choice,7159,1320,billing,billing,True,,,,,2,A,,
E4B,gen,update_multi,updated_fact,2500,routing,choice,2942,728,technical,technical,True,,,,,2,B,,
E4B,gen,update_multi,updated_fact,2500,billing_unresolved,noul,2869,703,no,no,True,,,,,2,No,,
E4B,gen,update_multi,updated_fact,2500,urgency,score,2940,717,4,,True,,,,4.0,2,D,,
E4B,gen,update_multi,updated_fact,2500,cancel_threat,noul,2867,688,no,no,True,,,,,2,No,,
E4B,gen,distractor,distractor,2000,routing,choice,2378,660,technical,technical,True,,,,,2,B,,
E4B,gen,distractor,distractor,2000-reversed,routing,choice,2378,700,technical,technical,True,,,,,2,C,,
E4B,gen,rules_direct,rules,annual-20d-3exp,eligible,noul,1760,617,no,yes,False,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-20d-3exp,annual,noul,1749,614,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,annual-20d-3exp,within14,noul,1756,558,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-20d-3exp,within30,noul,1756,565,no,yes,False,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-20d-3exp,exports_lt5,noul,1755,578,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,annual-20d-3exp,discounted,noul,1756,557,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-20d-3exp,duplicate,noul,1758,606,no,no,True,,,,,2,No,,
E4B,gen,rules_direct,rules,annual-20d-7exp,eligible,noul,1760,617,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-20d-7exp,annual,noul,1749,612,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,annual-20d-7exp,within14,noul,1756,570,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-20d-7exp,within30,noul,1756,571,no,yes,False,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-20d-7exp,exports_lt5,noul,1755,601,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-20d-7exp,discounted,noul,1756,613,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-20d-7exp,duplicate,noul,1758,567,no,no,True,,,,,2,No,,
E4B,gen,rules_direct,rules,nonprofit-monthly-7d,eligible,noul,1763,570,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,nonprofit-monthly-7d,annual,noul,1752,564,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,nonprofit-monthly-7d,within14,noul,1759,559,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,nonprofit-monthly-7d,within30,noul,1759,605,no,yes,False,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,nonprofit-monthly-7d,exports_lt5,noul,1758,615,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,nonprofit-monthly-7d,discounted,noul,1759,615,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,nonprofit-monthly-7d,duplicate,noul,1761,582,no,no,True,,,,,2,No,,
E4B,gen,rules_direct,rules,nonprofit-duplicate,eligible,noul,1778,563,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,nonprofit-duplicate,annual,noul,1767,558,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,nonprofit-duplicate,within14,noul,1774,549,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,nonprofit-duplicate,within30,noul,1774,574,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,nonprofit-duplicate,exports_lt5,noul,1773,654,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,nonprofit-duplicate,discounted,noul,1774,553,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,nonprofit-duplicate,duplicate,noul,1776,574,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_direct,rules,monthly-10d,eligible,noul,1757,558,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,monthly-10d,annual,noul,1746,569,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,monthly-10d,within14,noul,1753,587,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,monthly-10d,within30,noul,1753,554,no,yes,False,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,monthly-10d,exports_lt5,noul,1752,565,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,monthly-10d,discounted,noul,1753,559,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,monthly-10d,duplicate,noul,1755,598,no,no,True,,,,,2,No,,
E4B,gen,rules_direct,rules,monthly-20d,eligible,noul,1757,615,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,monthly-20d,annual,noul,1746,614,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,monthly-20d,within14,noul,1753,590,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,monthly-20d,within30,noul,1753,554,no,yes,False,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,monthly-20d,exports_lt5,noul,1752,576,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,monthly-20d,discounted,noul,1753,553,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,monthly-20d,duplicate,noul,1755,601,no,no,True,,,,,2,No,,
E4B,gen,rules_direct,rules,annual-40d-2exp,eligible,noul,1759,567,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-40d-2exp,annual,noul,1748,563,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,annual-40d-2exp,within14,noul,1755,606,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-40d-2exp,within30,noul,1755,605,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-40d-2exp,exports_lt5,noul,1754,563,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,annual-40d-2exp,discounted,noul,1755,567,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-40d-2exp,duplicate,noul,1757,617,no,no,True,,,,,2,No,,
E4B,gen,rules_direct,rules,annual-60d-duplicate,eligible,noul,1775,614,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,annual-60d-duplicate,annual,noul,1764,614,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,annual-60d-duplicate,within14,noul,1771,550,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-60d-duplicate,within30,noul,1771,576,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-60d-duplicate,exports_lt5,noul,1770,570,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-60d-duplicate,discounted,noul,1771,557,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-60d-duplicate,duplicate,noul,1773,615,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_direct,rules,annual-29d-4exp,eligible,noul,1759,609,no,yes,False,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-29d-4exp,annual,noul,1748,639,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,annual-29d-4exp,within14,noul,1755,570,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-29d-4exp,within30,noul,1755,568,no,yes,False,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-29d-4exp,exports_lt5,noul,1754,559,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,annual-29d-4exp,discounted,noul,1755,573,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-29d-4exp,duplicate,noul,1757,576,no,no,True,,,,,2,No,,
E4B,gen,rules_direct,rules,annual-30d-5exp,eligible,noul,1760,797,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-30d-5exp,annual,noul,1749,544,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,annual-30d-5exp,within14,noul,1756,571,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-30d-5exp,within30,noul,1756,557,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,annual-30d-5exp,exports_lt5,noul,1755,605,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-30d-5exp,discounted,noul,1756,612,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,annual-30d-5exp,duplicate,noul,1758,616,no,no,True,,,,,2,No,,
E4B,gen,rules_direct,rules,nonprofit-annual-12d,eligible,noul,1765,585,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,nonprofit-annual-12d,annual,noul,1754,576,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,nonprofit-annual-12d,within14,noul,1761,550,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,nonprofit-annual-12d,within30,noul,1761,575,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,nonprofit-annual-12d,exports_lt5,noul,1760,579,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,nonprofit-annual-12d,discounted,noul,1761,615,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,nonprofit-annual-12d,duplicate,noul,1763,718,no,no,True,,,,,2,No,,
E4B,gen,rules_direct,rules,monthly-3d,eligible,noul,1755,552,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,monthly-3d,annual,noul,1744,549,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,monthly-3d,within14,noul,1751,639,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,monthly-3d,within30,noul,1751,717,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,monthly-3d,exports_lt5,noul,1750,616,yes,yes,True,,,,,2,Yes,,
E4B,gen,rules_sub,rules_sub,monthly-3d,discounted,noul,1751,547,no,no,True,,,,,2,No,,
E4B,gen,rules_sub,rules_sub,monthly-3d,duplicate,noul,1753,559,no,no,True,,,,,2,No,,
26B-A4B,logit,buried,buried_fact,500@0.5,routing,choice,738,1424,billing,billing,True,0.9999999969209132,0.9999999969209132,1.0000000049557884,,,,A,
26B-A4B,logit,buried,buried_fact,2000@0.5,routing,choice,2390,1359,billing,billing,True,0.9999999966017321,0.9999999966017321,1.0000000044675803,,,,A,
26B-A4B,logit,buried,buried_fact,2000@0.5-reversed,routing,choice,2390,613,billing,billing,True,0.9999999996912341,0.9999999996912341,1.000000000972717,,,,D,
26B-A4B,logit,buried,buried_fact,4000@0.5,routing,choice,4508,1536,billing,billing,True,0.9999999884136398,0.9999999884136398,0.999999777364136,,,,A,
26B-A4B,logit,buried,buried_fact,6500@0.1,routing,choice,7229,1681,billing,billing,True,0.9999999719877746,0.9999999719877746,0.9999997959424977,,,,A,
26B-A4B,logit,buried,buried_fact,6500@0.5,routing,choice,7223,1015,billing,billing,True,0.9999999783538323,0.9999999783538323,0.9999999052901474,,,,A,
